timestamp,Nouveaux cas,Nouvelles guérisons
2020-02-21,644,713
2020-02-22,1756,3996
2020-02-23,386,508
2020-02-24,585,1833
2020-02-25,845,2678
2020-02-26,982,2479
2020-02-27,1359,2893
2020-02-28,1368,3434
2020-02-29,1889,3071
2020-03-01,2358,2934
2020-03-02,1938,2886
2020-03-03,2535,2627
2020-03-04,2280,2942
2020-03-05,2762,2626
2020-03-06,3914,2069
2020-03-07,4036,2493
2020-03-08,3999,2336
2020-03-09,3747,1817
2020-03-10,5000,1892
2020-03-11,7283,2599
2020-03-12,2478,1321
2020-03-13,16171,1893
2020-03-14,11585,2407
2020-03-15,6620,2996
2020-03-16,18827,2468
2020-03-17,15622,2752
2020-03-18,17747,2473
2020-03-19,27798,1649
2020-03-20,29454,2441
