timestamp,Nouveaux cas en Chine,Nouveaux cas hors de la Chine
2020-02-21,473,171
2020-02-22,1450,306
2020-02-23,16,370
2020-02-24,214,371
2020-02-25,508,337
2020-02-26,405,577
2020-02-27,433,926
2020-02-28,326,1042
2020-02-29,427,1462
2020-03-01,575,1783
2020-03-02,200,1738
2020-03-03,125,2410
2020-03-04,120,2160
2020-03-05,151,2611
2020-03-06,151,3763
2020-03-07,79,3957
2020-03-08,47,3952
2020-03-09,36,3711
2020-03-10,22,4978
2020-03-11,164,7119
2020-03-12,11,2467
2020-03-13,13,16158
2020-03-14,32,11553
2020-03-15,26,6594
2020-03-16,30,18797
2020-03-17,25,15597
2020-03-18,44,17703
2020-03-19,54,27744
2020-03-20,94,29360
