country_day,Chine,Corée du Sud,Espagne,France,Italie,Suisse,États-Unis
-8,26.984126984126984,0.0,0.0,0.0,0.0,0.0,1.694915254237288
-8,170.0,0.0,0.0,0.0,0.0,0.0,10.0
-8,8.796296296296296,0.0,0.0,0.0,0.0,0.0,4.545454545454546
-8,64.25531914893618,0.0,50.0,0.0,0.0,0.0,28.985507246376812
-4,36.26943005181347,3.571428571428571,133.33333333333331,16.666666666666664,0.0,0.0,15.730337078651685
-4,18.44106463878327,3.4482758620689653,71.42857142857143,21.428571428571427,0.0,0.0,21.35922330097087
-4,41.57303370786517,3.3333333333333335,108.33333333333333,123.52941176470588,0.0,0.0,27.200000000000003
-4,50.0,48.38709677419355,36.0,50.0,466.6666666666667,700.0,46.540880503144656
0,50.264550264550266,73.91304347826086,94.11764705882352,75.43859649122807,364.70588235294116,50.0,45.06437768240343
0,39.587525150905435,93.75,25.757575757575758,30.0,67.08860759493672,50.0,28.106508875739642
0,63.17117117117117,122.58064516129032,37.34939759036144,36.92307692307693,73.48484848484848,33.33333333333333,27.9445727482679
0,32.37632508833922,74.20289855072464,32.45614035087719,19.101123595505616,40.61135371179039,25.0,36.101083032490976
4,29.02902902902903,26.788685524126453,32.450331125827816,34.43396226415094,24.22360248447205,23.333333333333332,35.94164456233422
4,25.601241272304108,17.060367454068242,30.5,48.421052631578945,62.5,54.054054054054056,28.000000000000004
4,21.566810788552605,28.475336322869953,43.29501915708812,44.91725768321513,36.61538461538461,52.63157894736842,26.753048780487802
4,21.93242442205098,39.179755671902264,14.973262032085561,16.802610114192497,27.027027027027028,140.22988505747128,30.727600721587496
8,19.529133967636643,26.771159874608152,36.97674418604651,57.262569832402235,49.734042553191486,26.31578947368421,35.74057037718491
8,18.807739236534772,44.95548961424332,104.41426146010187,25.399644760213143,8.644168146832445,25.757575757575758,27.888851236868856
8,18.9358372456964,20.300238826339132,36.12956810631229,26.345609065155806,36.34877384196185,12.650602409638553,23.502914679385267
8,15.32483552631579,19.455473624503686,30.567419158023185,27.858744394618835,23.46123101518785,31.016042780748666,37.88886505041836
12,11.266802153528007,14.245014245014245,40.373831775700936,26.085050416483995,24.894787957267724,31.020408163265305,46.4913645557803
12,10.95267087512417,10.723192019950124,40.84553928095872,27.294853963838666,20.165889061689995,33.021806853582554,51.35422198619225
12,7.529241877256318,8.220720720720722,35.97258331363744,22.88992078667031,26.898188093183776,31.26463700234192,37.71228070175439
12,7.987752470992694,8.983697537287547,34.76447071093342,20.537897310513447,25.361210266870643,21.231043710972347,36.297390949857316
16,6.1931055066408,7.686187141947803,18.547658970721013,22.31237322515213,24.366101694915255,61.88373804267844,31.625976745055524
16,4.749859471613266,5.423378158711394,21.61897508432162,16.53851952359415,10.651984300043612,0.0,31.91501448616713
16,33.85430641266434,3.476310625175217,22.705314009661837,18.16300129366106,22.790422701744014,20.454545454545457,18.924680246328755
16,6.942286811993652,1.7745868328366297,25.0145815106445,20.37442522443617,21.272668913497032,13.584905660377359,25.281092140283533
20,3.9643242061198665,3.22108345534407,16.52184055519916,14.70668485675307,16.853040428769933,29.169435215946844,24.275226175679972
20,3.015369822262955,1.4700193423597678,24.754754754754753,14.644782746590549,0.5096262740656852,24.485596707818928,21.74064727704062
20,2.992736925006563,1.3978904562206125,14.62729679852363,10.78221177121516,35.098591549295776,25.55785123966942,19.084691362741914
20,2.6763714633662805,1.3410201779671638,15.809183816323674,23.96054438756399,16.680567139282733,14.711206187263453,14.727469618577787
24,2.4135267832515033,0.9398961167449914,19.897851249660008,12.318694601128124,12.601858470335955,14.976330512121647,15.098758958224087
24,0.5305825634948423,0.9066405292820388,20.00604945428881,13.142319074522465,13.353012124674665,9.656893325015597,15.185275179200582
24,1.1935380163960778,1.0199125789218066,18.01722327242176,15.54313795426624,14.902136476913169,10.524519285470474,14.29347424822538
24,1.0934169942946401,1.1177884615384615,14.008329180607959,13.064654433201852,14.587547215791396,10.294420424130122,
28,0.8472023988791263,1.8067276833472006,12.783527685415008,13.987986894794322,13.94483315965207,12.973679298114615,
28,0.28305806585644544,1.0157618213660247,9.064610785073635,6.916833000665336,10.377393706372018,8.658294778585592,
28,0.6668047750990497,1.6990291262135921,8.119598461870375,10.892617115547369,8.098008048970206,8.531021897810218,
28,0.5273379721925684,1.1137629276054097,10.824578907212864,17.01010101010101,8.210928089852489,7.972537480734202,
32,0.5616755587968116,0.7193435989659436,8.175434508616034,9.32512277470841,7.531513819821904,4.515961588372697,
32,0.41858571464922767,0.8481196295056356,,,8.27171779635953,5.972187732803576,
32,0.5422732398292093,1.106561912138984,,,7.398899911843951,,
32,0.7233318631466196,1.1382291780671994,,,6.90651806978196,,
36,0.2564776238912035,0.9847419110485879,,,5.6417077601868675,,
36,0.15848453839818305,1.5645092156022289,,,4.145809661271996,,
36,0.14826628125739774,1.1078286558345642,,,3.9837230560552004,,
36,0.1455585966658373,0.813941354481895,,,4.520190562613431,,
