Mainland_China,Other_Locations,Total_Confirmed,Total_Recovered,timestamp
278,4,282,,2020-01-20
326,6,332,25.0,2020-01-21
547,8,555,28.0,2020-01-22
639,14,653,30.0,2020-01-23
916,25,941,36.0,2020-01-24
1979,40,2019,49.0,2020-01-25
2737,57,2794,54.0,2020-01-26
4409,64,4474,63.0,2020-01-27
5970,87,6057,110.0,2020-01-28
7678,105,7783,133.0,2020-01-29
9658,118,9776,141.0,2020-01-30
11221,153,11374,220.0,2020-01-31
14341,173,14514,284.0,2020-02-01
17187,183,17370,487.0,2020-02-02
19693,188,19881,621.0,2020-02-03
23680,212,23892,899.0,2020-02-04
27409,227,27636,1146.0,2020-02-05
30553,265,30818,1487.0,2020-02-06
34075,317,34392,2011.0,2020-02-07
36778,343,37121,2616.0,2020-02-08
39790,361,40151,3244.0,2020-02-09
42306,457,42763,3946.0,2020-02-10
44327,476,44803,4683.0,2020-02-11
44699,523,45222,5150.0,2020-02-12
59832,538,60370,6295.0,2020-02-13
66292,595,66887,8058.0,2020-02-14
68347,685,69032,9395.0,2020-02-15
70446,780,71226,10865.0,2020-02-16
72364,896,73260,12583.0,2020-02-17
74139,1013,75152,14352.0,2020-02-18
74546,1095,75641,16121.0,2020-02-19
74999,1200,76199,18177.0,2020-02-20
75472,1371,76843,18890.0,2020-02-21
76922,1677,78599,22886.0,2020-02-22
76938,2047,78985,23394.0,2020-02-23
77152,2418,79570,25227.0,2020-02-24
77660,2574,80234,27697.0,2020-02-25
